CODIGOEAN13,Tipo,Nom_Prod,Concent,Nom_Form_Farm,Nom_Form_Farm_Simplif,Presentac,Fracciones,Fec_Vcto_Reg_Sanitario,Num_RegSan,Nom_Titular
7751030000333,13,AQUOL FRESH  FCO X 15 ML,"0,01%",FRASCO,FCO,CJA X 1,1,1/17/2018,N27285,LABORATORIOS ROSTER S.A.
7751030000340,13,ALERGIPAT,0.002,SOLUCION OFTALMICA,SOLUCION OFTALMICA,FRASCO,5,,N-27334,ROSTER
7751030000364,13,UNITRAV,0.004%,SOLUCION OFTALMICA,SOLUCION OFTALMICA,FRASCO X 3 mL,1,12/11/2018,N27367,ROSTER
7751030000371,13,TELMICIN -P GOTAS OFT,NETILMICINA 0.3 %,FRASCO X 5 ML,FRASCO X 5 ML,FRASCO,1,2/1/2018,EN-02140,ROSTER
7751030000388,13,MIDILAR - T (TROPICAMIDA 1%) (ROSTER),0.01,FRASCO,FCO,CAJA X 1,1,,EN-03824,ROSTER
7751030000401,13,NEPAFEN,5ML,GOTAS,GOTAS OFTALMICAS,FRASCO,1,3/21/2022,EN-05250,ROSTER
7751030000432,13,BRIMODUAL SP GTS OFT X 5ML,5 ML,FRASCO,FCO,CJA X 1,1,2/1/2024,EN06620,LABORATORIOS ROSTER S.A.
7751030067749,13,MIRACRYL A,0.05%+0.5%,Solución Oftálmica,Solucion Oftalmica,Fco. X 10 mL,1,1/11/2013,N16629,ROSTER
7751030067763,13,NEOFTHAL S,,Solución Oftálmica,Solucion Oftalmica,Fco. X 5 mL,1,12/20/2009,N19483,ROSTER
7751030230058,13,UNIOF,0.001,FRASCO,GOTAS OFT.,0.1% Oft. Sol. x 5ml,,,EN-02278,Roster S.A.
7751030232734,13,NEPOCORT OFTALMICO,,Solución Oftálmica,Solucion Oftalmica,Caja Fco. Got. X 5 mL,1,12/2/2014,N17687,ROSTER
7751030232741,13,UNIPRED F,1%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,11/18/2011,N18579,ROSTER
7751030253722,13,UNICLOR,1%,Ungüento Oftálmico,Unguento Oftalmico,Tubo X 3.5 g,1,3/22/2010,N19603,ROSTER
7751030253746,13,MIRACRYL-A GTS OFT FCO X 10 ML,0.05% + 0.5%,FRASCO,FCO,CJA X 1,1,1/11/2018,N16629,ROSTER S.A.
7751030260058,13,UNIOF,0.10%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,10/17/2010,N19796,ROSTER
7751030262977,13,UNIFLOX,0.30%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,9/24/2011,N18545,ROSTER
7751030262984,13,OPTIMOL,0.50%,Solución Oftálmica,Solucion Oftalmica,5 mL,1,12/30/2013,N17118,ROSTER
7751030262991,13,UNISULF,10%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 10 mL,1,3/31/2012,N16348,ROSTER
7751030287338,13,LOCARPIN F,2%,Solución Oftálmica,Solucion Oftalmica,10 mL,1,12/12/2013,N17090,ROSTER
7751030287345,13,UNIFEN,0.10%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,8/5/2013,N18964,ROSTER
7751030460496,13,AQUOL,,Colirio,Solucion Oftalmica,Fco. X 15 mL,1,12/10/2006,N18614,ROSTER
7751030665846,13,UNICLOVYR,3%,Ungüento Oftálmico,Unguento Oftalmico,Tubo X 3.5 g,1,6/21/2010,N19689,ROSTER
7751030705627,13,UNICLOR,0.50%,Solución,Solucion,Fco. X 10 mL,1,10/28/2012,N16525,ROSTER
7751030705634,13,UNICLOR S,0.5%+0.1%,Gotas Oftálmicas,Solucion Oftalmica,Fco. Got. X 5 mL,1,5/30/2013,N18922,ROSTER
